k,seed,method,solved,solution_len,runtime_sec,expanded,generated,branching_avg,branching_min,branching_max,max_frontier,explored_size,planner_time_sec,note
5,0,A* (Manhattan),True,5,9.2e-05,5,12,3.0,2,4,7,5,,
5,0,PDDL-FD (lazy_greedy([ff()])),True,5,3.389245,,,,,,,,0.12,sas_plan
5,1,A* (Manhattan),True,5,7.8e-05,5,12,3.0,2,4,7,5,,
5,1,PDDL-FD (lazy_greedy([ff()])),True,5,0.303022,,,,,,,,0.09,sas_plan
5,2,A* (Manhattan),True,5,9.7e-05,5,12,3.0,2,4,7,5,,
5,2,PDDL-FD (lazy_greedy([ff()])),True,5,0.268277,,,,,,,,0.08,sas_plan
10,0,A* (Manhattan),True,10,0.000547,21,49,3.2381,2,4,28,21,,
10,0,PDDL-FD (lazy_greedy([ff()])),True,10,0.262676,,,,,,,,0.08,sas_plan
10,1,A* (Manhattan),True,10,0.000169,12,28,3.1667,2,4,16,12,,
10,1,PDDL-FD (lazy_greedy([ff()])),True,10,0.280938,,,,,,,,0.08,sas_plan
10,2,A* (Manhattan),True,10,0.000333,23,50,3.087,2,4,27,23,,
10,2,PDDL-FD (lazy_greedy([ff()])),True,10,0.3505,,,,,,,,0.09,sas_plan
15,0,A* (Manhattan),True,15,0.000858,73,154,3.0959,2,4,81,73,,
15,0,PDDL-FD (lazy_greedy([ff()])),True,15,0.263296,,,,,,,,0.08,sas_plan
15,1,A* (Manhattan),True,15,0.000323,27,58,3.0741,2,4,31,27,,
15,1,PDDL-FD (lazy_greedy([ff()])),True,61,0.262762,,,,,,,,0.08,sas_plan
15,2,A* (Manhattan),True,15,0.001161,97,202,3.0619,2,4,105,97,,
15,2,PDDL-FD (lazy_greedy([ff()])),True,23,0.239627,,,,,,,,0.08,sas_plan
20,0,A* (Manhattan),True,16,0.00082,73,151,3.0685,2,4,78,73,,
20,0,PDDL-FD (lazy_greedy([ff()])),True,32,0.242068,,,,,,,,0.08,sas_plan
20,1,A* (Manhattan),True,18,0.000741,55,122,3.1818,2,4,67,55,,
20,1,PDDL-FD (lazy_greedy([ff()])),True,60,0.297212,,,,,,,,0.09,sas_plan
20,2,A* (Manhattan),True,20,0.004281,359,713,3.0669,2,4,355,359,,
20,2,PDDL-FD (lazy_greedy([ff()])),True,64,0.260316,,,,,,,,0.09,sas_plan
25,0,A* (Manhattan),True,21,0.008409,729,1443,3.059,2,4,710,729,,
25,0,PDDL-FD (lazy_greedy([ff()])),True,31,0.265948,,,,,,,,0.08,sas_plan
25,1,A* (Manhattan),True,21,0.003737,262,533,3.0725,2,4,271,262,,
25,1,PDDL-FD (lazy_greedy([ff()])),True,69,0.292625,,,,,,,,0.08,sas_plan
25,2,A* (Manhattan),True,23,0.016278,903,1824,3.0775,2,4,914,903,,
25,2,PDDL-FD (lazy_greedy([ff()])),True,51,0.318507,,,,,,,,0.09,sas_plan
30,0,A* (Manhattan),True,24,0.008717,765,1511,3.0405,2,4,745,765,,
30,0,PDDL-FD (lazy_greedy([ff()])),True,76,0.339115,,,,,,,,0.1,sas_plan
30,1,A* (Manhattan),True,26,0.041084,3483,6897,3.0617,2,4,3408,3483,,
30,1,PDDL-FD (lazy_greedy([ff()])),True,72,0.260007,,,,,,,,0.09,sas_plan
30,2,A* (Manhattan),True,28,0.053453,3968,7997,3.0857,2,4,4010,3968,,
30,2,PDDL-FD (lazy_greedy([ff()])),True,60,0.276058,,,,,,,,0.08,sas_plan
